Run Number,Execution Time (ms),Best Value,Is Solution Found
1,5067,834,false
2,6086,834,false
3,2393,834,false
4,2344,834,false
5,7378,834,false
6,2972,834,false
7,2126,834,false
8,1991,834,false
9,2070,834,false
10,1949,834,false
11,2103,834,false
12,2134,834,false
13,2663,834,false
14,2560,834,false
15,1949,834,false
16,1953,834,false
17,3050,834,false
18,1992,834,false
19,2176,834,false
20,1996,834,false
21,7328,834,false
22,3453,834,false
23,1878,834,false
24,2104,834,false
25,2061,834,false
26,1929,834,false
27,1958,834,false
28,1997,834,false
29,1990,834,false
30,2429,834,false
31,2083,834,false
32,1964,834,false
33,1916,834,false
34,2184,834,false
35,1992,834,false
36,1979,834,false
37,1972,834,false
38,1932,834,false
39,2184,834,false
40,2007,834,false
41,2116,834,false
42,1921,834,false
43,3796,834,false
44,1974,834,false
45,2059,834,false
46,1989,834,false
47,3167,834,false
48,2121,834,false
49,1878,834,false
50,1853,834,false
51,2487,834,false
52,1943,834,false
53,2034,834,false
54,2155,834,false
55,1935,834,false
56,2132,834,false
57,1910,834,false
58,1997,834,false
59,1991,834,false
60,1985,834,false
61,2328,834,false
62,2153,834,false
63,1995,834,false
64,1885,834,false
65,1848,834,false
66,1995,834,false
67,2137,834,false
68,1916,834,false
69,2807,834,false
70,2920,834,false
71,4652,834,false
72,3142,834,false
73,3801,834,false
74,3572,834,false
75,2960,834,false
76,1808,834,false
77,1963,834,false
78,1936,834,false
79,1854,834,false
80,1848,834,false
81,1858,834,false
82,4051,834,false
83,2557,834,false
84,3419,834,false
85,5698,834,false
86,2945,834,false
87,2815,834,false
88,2008,834,false
89,1992,834,false
90,1885,834,false
91,4475,834,false
92,2375,834,false
93,2136,834,false
94,2371,834,false
95,1866,834,false
96,2361,834,false
97,1814,834,false
98,2086,834,false
99,1827,834,false
100,4088,834,false
